CATEGORY,MEDICINE,UNITPRICE,MONTH,Sales,lag_1,rolling_mean_3,Date,month,quarter
Bones & Joints,Abies Alba | UNDA Gemmo | 125 mL,45.5,April,2279,1250,1668.333333,4/1/2024,4,2
Gastrointestinal Health,GastroMend-HP™ | Designs for Health® | 60 Vegetable Capsules,82.99,September,1291,1547,1652,9/1/2024,9,3
Gastrointestinal Health,GastroMend-HP™ | Designs for Health® | 60 Vegetable Capsules,82.99,October,1798,1291,1747,10/1/2024,10,4
Gastrointestinal Health,GastroMend-HP™ | Designs for Health® | 60 Vegetable Capsules,82.99,November,2950,1798,1545.333333,11/1/2024,11,4
Gastrointestinal Health,GastroMend-HP™ | Designs for Health® | 60 Vegetable Capsules,82.99,December,2506,2950,2013,12/1/2024,12,4
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,April,2733,2644,2717.333333,4/1/2024,4,2
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,May,2946,2733,2632.666667,5/1/2024,5,2
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,June,2410,2946,2774.333333,6/1/2024,6,2
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,July,2207,2410,2696.333333,7/1/2024,7,3
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,August,2411,2207,2521,8/1/2024,8,3
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,September,2311,2411,2342.666667,9/1/2024,9,3
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,October,1105,2311,2309.666667,10/1/2024,10,4
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,November,1401,1105,1942.333333,11/1/2024,11,4
Gastrointestinal Health,Ginger SAP | NFH | 60 Capsules,15.3,December,1111,1401,1605.666667,12/1/2024,12,4
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,April,1980,2151,1715.333333,4/1/2024,4,2
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,May,1877,1980,1868.666667,5/1/2024,5,2
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,June,1074,1877,2002.666667,6/1/2024,6,2
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,July,1736,1074,1643.666667,7/1/2024,7,3
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,August,2218,1736,1562.333333,8/1/2024,8,3
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,September,1632,2218,1676,9/1/2024,9,3
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,October,2192,1632,1862,10/1/2024,10,4
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,November,1241,2192,2014,11/1/2024,11,4
Gastrointestinal Health,GlutAloeMine® | Xymogen® | 30 Servings,53,December,1669,1241,1688.333333,12/1/2024,12,4
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,April,1774,1221,1821.333333,4/1/2024,4,2
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,May,1769,1774,1846,5/1/2024,5,2
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,June,1082,1769,1588,6/1/2024,6,2
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,July,2159,1082,1541.666667,7/1/2024,7,3
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,August,2557,2159,1670,8/1/2024,8,3
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,September,2340,2557,1932.666667,9/1/2024,9,3
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,October,2174,2340,2352,10/1/2024,10,4
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,November,2111,2174,2357,11/1/2024,11,4
Gastrointestinal Health,Glutagenics™ | Metagenics® | 259.8 g (9.16 oz) Powder,39.58,December,1661,2111,2208.333333,12/1/2024,12,4
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,April,1789,2173,2385.333333,4/1/2024,4,2
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,May,2970,1789,2080.666667,5/1/2024,5,2
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,June,1817,2970,2310.666667,6/1/2024,6,2
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,July,2365,1817,2192,7/1/2024,7,3
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,August,2923,2365,2384,8/1/2024,8,3
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,September,2845,2923,2368.333333,9/1/2024,9,3
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,October,1826,2845,2711,10/1/2024,10,4
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,November,2916,1826,2531.333333,11/1/2024,11,4
Gastrointestinal Health,Gluterase™ | Biotics Research® | 60 Tablets,18.52,December,2116,2916,2529,12/1/2024,12,4
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,April,1173,1556,1950.666667,4/1/2024,4,2
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,May,2866,1173,1879.666667,5/1/2024,5,2
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,June,2828,2866,1865,6/1/2024,6,2
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,July,1183,2828,2289,7/1/2024,7,3
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,August,2961,1183,2292.333333,8/1/2024,8,3
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,September,1953,2961,2324,9/1/2024,9,3
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,October,2419,1953,2032.333333,10/1/2024,10,4
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,November,2428,2419,2444.333333,11/1/2024,11,4
Gastrointestinal Health,Glycine Powder | Designs for Health® | 180 g (6.3 oz),40.25,December,2775,2428,2266.666667,12/1/2024,12,4
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,April,1507,1666,1580.666667,4/1/2024,4,2
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,May,2664,1507,1529.333333,5/1/2024,5,2
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,June,1599,2664,1945.666667,6/1/2024,6,2
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,July,2761,1599,1923.333333,7/1/2024,7,3
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,August,2891,2761,2341.333333,8/1/2024,8,3
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,September,2784,2891,2417,9/1/2024,9,3
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,October,1521,2784,2812,10/1/2024,10,4
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,November,1264,1521,2398.666667,11/1/2024,11,4
Gastrointestinal Health,Golden Seal | MediHerb® | 60 Tablets,46.5,December,2010,1264,1856.333333,12/1/2024,12,4
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,April,1244,2502,2182.666667,4/1/2024,4,2
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,May,1133,1244,2005.666667,5/1/2024,5,2
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,June,1972,1133,1626.333333,6/1/2024,6,2
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,July,1919,1972,1449.666667,7/1/2024,7,3
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,August,1550,1919,1674.666667,8/1/2024,8,3
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,September,2030,1550,1813.666667,9/1/2024,9,3
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,October,1456,2030,1833,10/1/2024,10,4
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,November,1948,1456,1678.666667,11/1/2024,11,4
Gastrointestinal Health,Goldenseal Tincture | Genestra Brands® | 60 mL,41,December,2012,1948,1811.333333,12/1/2024,12,4
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,April,2480,2061,1987.333333,4/1/2024,4,2
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,May,2677,2480,1889.666667,5/1/2024,5,2
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,June,1737,2677,2406,6/1/2024,6,2
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,July,2310,1737,2298,7/1/2024,7,3
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,August,2720,2310,2241.333333,8/1/2024,8,3
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,September,1572,2720,2255.666667,9/1/2024,9,3
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,October,2505,1572,2200.666667,10/1/2024,10,4
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,November,1306,2505,2265.666667,11/1/2024,11,4
Gastrointestinal Health,Gummies Probiotic | Jamieson™ | 45 Gummies,28.99,December,2532,1306,1794.333333,12/1/2024,12,4
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,April,2919,2099,2660,4/1/2024,4,2
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,May,2342,2919,2655.666667,5/1/2024,5,2
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,June,1751,2342,2453.333333,6/1/2024,6,2
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,July,2099,1751,2337.333333,7/1/2024,7,3
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,August,1939,2099,2064,8/1/2024,8,3
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,September,1795,1939,1929.666667,9/1/2024,9,3
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,October,2232,1795,1944.333333,10/1/2024,10,4
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,November,2922,2232,1988.666667,11/1/2024,11,4
Gastrointestinal Health,Gut-Fx | Healthology™ | 180gr Powder,42.99,December,2297,2922,2316.333333,12/1/2024,12,4
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,April,2435,1119,1963,4/1/2024,4,2
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,May,2196,2435,1923,5/1/2024,5,2
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,June,2109,2196,1916.666667,6/1/2024,6,2
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,July,1719,2109,2246.666667,7/1/2024,7,3
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,August,2421,1719,2008,8/1/2024,8,3
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,September,1356,2421,2083,9/1/2024,9,3
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,October,2712,1356,1832,10/1/2024,10,4
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,November,1448,2712,2163,11/1/2024,11,4
Gastrointestinal Health,HCL-Pepsin SAP | NFH | 120 Capsules,47.25,December,1635,1448,1838.666667,12/1/2024,12,4
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,April,2307,1473,1186.333333,4/1/2024,4,2
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,May,2859,2307,1604.333333,5/1/2024,5,2
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,June,2791,2859,2213,6/1/2024,6,2
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,July,1342,2791,2652.333333,7/1/2024,7,3
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,August,1453,1342,2330.666667,8/1/2024,8,3
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,September,2579,1453,1862,9/1/2024,9,3
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,October,1325,2579,1791.333333,10/1/2024,10,4
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,November,2136,1325,1785.666667,11/1/2024,11,4
Gastrointestinal Health,HCl-Plus™ | Biotics Research® | 90 Tablets,13.97,December,1045,2136,2013.333333,12/1/2024,12,4
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,April,1003,1282,1527.666667,4/1/2024,4,2
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,May,2148,1003,1526.333333,5/1/2024,5,2
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,June,1802,2148,1477.666667,6/1/2024,6,2
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,July,1770,1802,1651,7/1/2024,7,3
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,August,2959,1770,1906.666667,8/1/2024,8,3
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,September,2047,2959,2177,9/1/2024,9,3
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,October,1129,2047,2258.666667,10/1/2024,10,4
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,November,2458,1129,2045,11/1/2024,11,4
Gastrointestinal Health,HMF Baby B | Genestra Brands® | 6 Grams Powder,81.25,December,2513,2458,1878,12/1/2024,12,4
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,April,1877,2169,2055.333333,4/1/2024,4,2
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,May,2163,1877,2109.333333,5/1/2024,5,2
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,June,2908,2163,2069.666667,6/1/2024,6,2
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,July,2961,2908,2316,7/1/2024,7,3
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,August,2743,2961,2677.333333,8/1/2024,8,3
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,September,2065,2743,2870.666667,9/1/2024,9,3
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,October,2592,2065,2589.666667,10/1/2024,10,4
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,November,2228,2592,2466.666667,11/1/2024,11,4
Gastrointestinal Health,HMF Bifido Capsules | Genestra Brands® | 30 Capsules,22,December,1628,2228,2295,12/1/2024,12,4
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,April,1070,2132,1882.666667,4/1/2024,4,2
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,May,2249,1070,1593.333333,5/1/2024,5,2
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,June,2168,2249,1817,6/1/2024,6,2
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,July,1521,2168,1829,7/1/2024,7,3
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,August,2705,1521,1979.333333,8/1/2024,8,3
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,September,2951,2705,2131.333333,9/1/2024,9,3
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,October,2977,2951,2392.333333,10/1/2024,10,4
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,November,1117,2977,2877.666667,11/1/2024,11,4
Gastrointestinal Health,HMF Child | Genestra Brands® | 30 Chewable Tablets,63,December,1070,1117,2348.333333,12/1/2024,12,4
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,April,1426,2440,2329.333333,4/1/2024,4,2
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,May,2448,1426,1960.666667,5/1/2024,5,2
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,June,1380,2448,2104.666667,6/1/2024,6,2
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,July,2269,1380,1751.333333,7/1/2024,7,3
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,August,2602,2269,2032.333333,8/1/2024,8,3
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,September,2004,2602,2083.666667,9/1/2024,9,3
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,October,1284,2004,2291.666667,10/1/2024,10,4
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,November,2404,1284,1963.333333,11/1/2024,11,4
Gastrointestinal Health,HMF Fitness | Genestra Brands® | 60 Capsules,27.99,December,1107,2404,1897.333333,12/1/2024,12,4
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,April,1696,1775,1534.666667,4/1/2024,4,2
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,May,2441,1696,1692.666667,5/1/2024,5,2
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,June,1234,2441,1970.666667,6/1/2024,6,2
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,July,1628,1234,1790.333333,7/1/2024,7,3
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,August,1378,1628,1767.666667,8/1/2024,8,3
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,September,2764,1378,1413.333333,9/1/2024,9,3
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,October,1705,2764,1923.333333,10/1/2024,10,4
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,November,1035,1705,1949,11/1/2024,11,4
Gastrointestinal Health,HMF Forte | Genestra Brands® | 60 or 120 Vegetable Capsules,109,December,2555,1035,1834.666667,12/1/2024,12,4
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,April,2186,2698,2428.666667,4/1/2024,4,2
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,May,2218,2186,2410,5/1/2024,5,2
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,June,1133,2218,2367.333333,6/1/2024,6,2
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,July,2132,1133,1845.666667,7/1/2024,7,3
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,August,1855,2132,1827.666667,8/1/2024,8,3
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,September,1318,1855,1706.666667,9/1/2024,9,3
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,October,1613,1318,1768.333333,10/1/2024,10,4
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,November,2507,1613,1595.333333,11/1/2024,11,4
Gastrointestinal Health,HMF IBS Relief | Genestra Brands® | 30 Vegetable Capsules,147.75,December,2724,2507,1812.666667,12/1/2024,12,4
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,April,2273,2634,1834.666667,4/1/2024,4,2
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,May,1918,2273,2141.333333,5/1/2024,5,2
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,June,2910,1918,2275,6/1/2024,6,2
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,July,1262,2910,2367,7/1/2024,7,3
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,August,1285,1262,2030,8/1/2024,8,3
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,September,1324,1285,1819,9/1/2024,9,3
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,October,2077,1324,1290.333333,10/1/2024,10,4
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,November,2043,2077,1562,11/1/2024,11,4
Gastrointestinal Health,HMF Intensive 50 | Genestra Brands® | 30 Vegetarian Capsules,59,December,2574,2043,1814.666667,12/1/2024,12,4
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,April,1813,1228,2090.333333,4/1/2024,4,2
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,May,1043,1813,2003,5/1/2024,5,2
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,June,1551,1043,1361.333333,6/1/2024,6,2
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,July,1646,1551,1469,7/1/2024,7,3
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,August,1104,1646,1413.333333,8/1/2024,8,3
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,September,2821,1104,1433.666667,9/1/2024,9,3
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,October,2858,2821,1857,10/1/2024,10,4
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,November,1260,2858,2261,11/1/2024,11,4
Gastrointestinal Health,HMF Intensive 500 | Genestra Brand® | 150 Grams,61.25,December,2657,1260,2313,12/1/2024,12,4
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,April,2703,2751,2164,4/1/2024,4,2
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,May,1721,2703,2490.666667,5/1/2024,5,2
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,June,1333,1721,2391.666667,6/1/2024,6,2
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,July,1992,1333,1919,7/1/2024,7,3
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,August,2730,1992,1682,8/1/2024,8,3
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,September,2033,2730,2018.333333,9/1/2024,9,3
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,October,1295,2033,2251.666667,10/1/2024,10,4
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,November,2801,1295,2019.333333,11/1/2024,11,4
Gastrointestinal Health,HMF Maternity | Genestra Brands® | 30 Vegetable Capsules,85.25,December,2849,2801,2043,12/1/2024,12,4
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,April,1447,2831,2458.333333,4/1/2024,4,2
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,May,2825,1447,2031.333333,5/1/2024,5,2
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,June,2668,2825,2367.666667,6/1/2024,6,2
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,July,2358,2668,2313.333333,7/1/2024,7,3
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,August,2460,2358,2617,8/1/2024,8,3
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,September,1346,2460,2495.333333,9/1/2024,9,3
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,October,2039,1346,2054.666667,10/1/2024,10,4
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,November,1495,2039,1948.333333,11/1/2024,11,4
Gastrointestinal Health,HMF Multi Strain 100 | Genestra Brands® | 30 Capsules,46.5,December,1744,1495,1626.666667,12/1/2024,12,4
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,April,2676,2971,1826,4/1/2024,4,2
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,May,1349,2676,2330.333333,5/1/2024,5,2
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,June,2795,1349,2332,6/1/2024,6,2
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,July,1606,2795,2273.333333,7/1/2024,7,3
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,August,1245,1606,1916.666667,8/1/2024,8,3
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,September,2505,1245,1882,9/1/2024,9,3
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,October,1504,2505,1785.333333,10/1/2024,10,4
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,November,1398,1504,1751.333333,11/1/2024,11,4
Gastrointestinal Health,HMF Multi Strain 50 | Genestra Brands® | 30 Capsules,26,December,1153,1398,1802.333333,12/1/2024,12,4
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,April,2178,1396,1593.666667,4/1/2024,4,2
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,May,2328,2178,1813,5/1/2024,5,2
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,June,1769,2328,1967.333333,6/1/2024,6,2
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,July,2764,1769,2091.666667,7/1/2024,7,3
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,August,2815,2764,2287,8/1/2024,8,3
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,September,2075,2815,2449.333333,9/1/2024,9,3
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,October,2287,2075,2551.333333,10/1/2024,10,4
Gastrointestinal Health,HMF Multi Strain Powder | Genestra Brands® | 60 Grams,13.49,November,1481,2287,2392.333333,11/1/2024,11,4
